P916BK,"['bestBuy', 43L]"
TF700T,"['newEgg', 377L, 'newEgg', 377L]"
Indigi® White 7-inch Android 4.2 Duo Core Tablet PC w/ KEYBOARD CASE Google Play,"['newEgg', 296L]"
"Supersonic Matrix MID SC-72JB Tablet - 7"" - Boxchip A13 1.20 GHz - 4","['overstock', 67L]"
WIN,"['amazon', 47L]"
"CHUWI Hi10 Plus Windows 10/Android 5.1 Dual Boot 2-in-1 Tablet PC, 10.8"" Full HD Display, 3:2 Aspect Ratio IPS Screen, featuring Intel X5 Cherry Trail Z8350 Quad Core, 4GB RAM/64GB ROM and Wifi","['amazon', 33L]"
PiPO P8 RK3288 Quad Core 1.8GHz 7.9 inch Tablet PC Android 4.4 Retina 2048*1536 Touch Screen 2GB/32GB 3G Call Tablet PC,"['newEgg', 75L, 'newEgg', 397L]"
MP2G2CL/A,"['bestBuy', 227L]"
SU3-00001,"['amazon', 92L, 'source', 46L]"
HP Bilingual Desktop Computer Slimline 260-a039 Pentium J3710 (1.6 GHz) 4 GB DDR3L 1 TB HDD Windows 10 Home 64-Bit,"['newEgg', 216L, 'newEgg', 555L]"
MLQ42LL/A,"['bestBuy', 241L]"
ME8QIBP16GBBLU,"['amazon', 426L, 'source', 31L, 'newEgg', 402L]"
"POLAROID 11.6"" M11 HD IPS QC 32GB ANDROID 5.1 TABLET-BLUE","['amazon', 402L]"
ME8QIBP16GBBLK,"['amazon', 363L, 'source', 64L]"
SE9 579,"['amazon', 183L]"
"Trident CY-APIPA2-BL000 Trident Cyclops Case for Apple iPad Air 2 - iPad Air 2 - Blue - Thermoplastic Elastomer (TPE),","['overstock', 89L]"
Created N7s best-selling Bluetooth 4.0 LTPS high-definition screen speed eight-core processor 2GB RAM 7.0-inch dual card dual standby 3G phone tablet screen resolution 1920 * 1200(white),"['newEgg', 359L, 'newEgg', 413L]"
Z500M-C1-SL,"['bestBuy', 122L, 'amazon', 16L, 'newEgg', 0L, 'newEgg', 0L]"
"inDigi® NEW 7"" Android 4.2 JB Tablet PC w/ Wireless Phone Feature Keyboard Case Included","['newEgg', 176L, 'newEgg', 179L]"
HP Bilingual Desktop Computer Pavilion 560-p029 Intel Core i5 6th Gen 6400 (2.7 GHz) 8 GB DDR4 1 TB HDD Windows 10 Home 64-Bit,"['newEgg', 457L]"
SC-8021W,"['newEgg', 39L, 'newEgg', 39L]"
